art,EW 5876 G,EW 4541 G,EW 4471 G,EW 5411 G,EW 4481 G,EW 5592 G,EW 4686 G,EW 4116G,EW 4340G,FWHM 5876 G,FWHM 4541 G,FWHM 4471 G,FWHM 5411 G,FWHM 4481 G,FWHM 5592 G,FWHM 4552 G,FWHM 4267 G,FWHM 4116G,FWHM 4340G,EW 5876,EW 4541,EW 4471,EW 5411,EW 4481,EW 5592,EW 4686,EW 4116,EW 4340,EW 5876 INT,EW 4541 INT,EW 4471 INT,EW 5411 INT,EW 4481 INT,EW 5592 INT,EW 4686 INT,EW 4340 INT
B,926.86,669.71,393.17,979.05,0,0,829.75,0,1881.02,5.19,3.87,3.15,5.01,3.73,4.15,0,0,0,5.44,902.04,730.23,38.86,670.46,0,322.06,756.82,0,2310.54,804.51,603.44,223.07,773.96,0,212.82,394.04,1996.72
B,852.9,228.65,599.56,463.35,0,180.51,0,211.88,1114.85,3.7,2.51,2.97,4.32,3.03,0,0,0,1.66,4.37,861.2,322.56,266.22,475.29,0,198.59,0,278.04,1322.59,910.51,204.63,285.08,442.23,0,192.82,3.98,1226.08
B,780.53,0,953.84,23.1,208.1,0,0,30.43,2758.5,2.82,0,3.11,1.58,0,0,2.63,1.15,0.86,6.71,769.59,0,967.71,15.15,190.12,0,0,20.47,2700.9,847.62,0.23,1021.77,19.76,214.81,1.01,43.7,3070.16
B,771.44,0,568.73,0,349.71,0,0,0,1946.91,1.44,0,1.08,0,0,0,0.84,0.78,0,3.3,899.24,0,557.4,0,288.42,0,0,0,2174.64,862.39,0,554.83,0,313.03,0,0,2422.88
B,164.54,3.42,270.95,0,231.35,0,0,0,4726.94,1.31,0.18,1.73,0,0,0,1.08,0.92,0,7.5,133.25,17.24,305.4,0,213.97,0,0,0,5131.21,145.14,3.44,323.41,0,214.58,0,0.41,5403.03
B,134.33,17.19,215.81,0,174.55,0,0,28.66,4547.5,0.82,0.57,1.33,0,0,0,0.64,0.62,1.1,7.07,131.11,23.18,267.31,0,158.72,0,0,19.56,4720.8,144.91,17.09,265.98,0,163.01,0,0,4844.57
B,581.86,0,909.37,0,0,0,0,0,3389.56,2.51,0,3.32,0,0,0,3.21,1.46,0,7.73,571.28,0,1089.07,0,1013.43,0,0,0,3803.34,599.53,0,1368.66,0,1403.52,0,0,3648.07
B,449.92,33.88,296.87,31.61,425.63,12.77,58.14,10.92,1925.12,1.09,0.55,0.81,1.24,0.58,1.19,0.75,0.6,0.22,3.22,514.98,46.24,291.03,22.41,411.76,14.85,13.22,18.03,1898.07,502.85,32.37,299.17,23.5,381.28,5.49,42.33,2139.54
B,140.44,0,385.11,0,238.51,0,0,0,5890.19,2.21,0,2.8,0,0,0,2.01,1.16,0,9.45,119.16,0,397.14,0,243.21,0,0,0,5972.85,143.99,0,411.36,0,216.34,0,0,6302.77
B,734.6,0,1112.86,0,0,0,0,0,3310.91,4.88,0.02,4.98,0,0,0,4.95,2.36,0,8.3,868.99,17.52,1318.65,0,1001.26,0,0,0,2907.8,730.43,0,1198.7,0,137.22,0,0,3009.3
